game_id,date,home_team,away_team,home_name,away_name,model_home_win_prob,model_away_win_prob,avg_total_runs,std_total_runs,actual_home_win,actual_home_score,actual_away_score,sim_home_prob,elo_home_prob,home_real_profiles,away_real_profiles,home_starter_id,away_starter_id,year,cumulative_batters,cumulative_pitchers,bankroll,total_line,model_over_prob,model_under_prob,market_over_nv_prob,market_under_nv_prob,best_over_odds,best_under_odds,best_over_book,best_under_book,over_edge,under_edge,totals_bet_side,totals_bet_odds,totals_bet_edge,totals_bet_fraction,totals_bet_stake,totals_bet_profit,totals_bet_won,confidence,market_home_nv_prob,market_away_nv_prob,best_home_odds,best_away_odds,best_home_book,best_away_book,pinnacle_home,pinnacle_away,vig,home_edge,away_edge,home_ev,away_ev,bet_side,bet_odds,bet_edge,bet_fraction,bet_stake,bet_profit,bet_won
745276,2024-03-29,SEA,BOS,Seattle Mariners,Boston Red Sox,0.5465262904534711,0.4534737095465289,6.7909,3.7745698019774387,True,1,0,0.5105999999999999,0.5824525809069423,9,9,669923,601713,2024,2551,1977,9305.11,7.5,0.3675,0.6325,0.4723837209302325,0.5276162790697675,104.0,-121.0,consensus,consensus,-0.03146511627906978,0.03146511627906978,,,,0.0,0.0,0.0,,1.0,0.5634920634920635,0.4365079365079365,-142.0,120.0,fanduel,fanduel,,,0.04132231404958686,-0.015269195734733176,0.01526919573473312,-0.06570469016004271,-0.006090309066126731,,,,0.0,0.0,0.0,
745435,2024-03-29,SDP,SFG,San Diego Padres,San Francisco Giants,0.6264556551721496,0.37354434482785037,8.7827,4.249244722300658,False,3,8,0.5823,0.6706113103442992,9,9,605397,690986,2024,2551,1977,9305.11,7.5,0.571,0.429,0.5236051502145922,0.47639484978540764,-122.0,100.0,fanduel,fanduel,0.014218454935622349,-0.014218454935622293,,,,0.0,0.0,0.0,,1.0,0.5742343084741106,0.4257656915258894,-148.0,126.0,fanduel,fanduel,,,0.039252069654581945,0.04699921202823509,-0.04699921202823509,0.04098589922014684,-0.14398775633530136,,,,0.0,0.0,0.0,
746167,2024-03-29,LAD,STL,Los Angeles Dodgers,St. Louis Cardinals,0.6476455453752857,0.35235445462471426,9.8147,4.712659961210866,True,6,3,0.6315000000000001,0.6637910907505714,9,9,676272,668868,2024,2551,1977,9305.11,8.5,0.5771,0.4229,0.5236051502145922,0.47639484978540764,-122.0,100.0,fanduel,fanduel,0.016048454935622347,-0.01604845493562229,,,,0.0,0.0,0.0,,1.0,0.6659815005138747,0.3340184994861253,-225.0,188.0,fanduel,fanduel,,,0.03952991452991439,-0.016502359624730123,0.016502359624730067,-0.06186346316012448,0.009500074239263245,,,,0.0,0.0,0.0,
745850,2024-03-30,NYM,MIL,New York Mets,Milwaukee Brewers,0.42435444468948036,0.5756455553105196,9.3139,4.556069225769074,False,6,7,0.4082,0.44050888937896077,9,9,622663,669084,2024,2551,1977,9305.11,8.0,0.5779776742169719,0.42202232578302806,0.5,0.5,-110.0,-110.0,fanduel,fanduel,0.018124816693383394,-0.01812481669338345,,,,0.0,0.0,0.0,,0.7747865815605703,0.5369611539091952,0.4630388460908048,-126.0,108.0,fanduel,fanduel,,,0.038291354663036126,-0.07852155056741522,0.07852155056741517,-0.17771944162506148,0.12644562504909762,away,108.0,0.07852155056741517,0.02926982061321704,272.36,294.15,1.0
746818,2024-03-30,CWS,DET,Chicago White Sox,Detroit Tigers,0.3989731331287639,0.6010268668712361,8.9643,4.386071762978804,False,6,7,0.459,0.3389462662575279,9,9,647336,628317,2024,2551,1977,9305.11,8.5,0.5018,0.4982,0.5108342361863488,0.4891657638136511,-115.0,-105.0,fanduel,fanduel,-0.002710270855904695,0.0027102708559046396,,,,0.0,0.0,0.0,,1.0,0.4257656915258893,0.5742343084741107,126.0,-148.0,fanduel,fanduel,,,0.039252069654581945,-0.02411330255741284,0.02411330255741284,-0.09226560093124336,0.0026365374041746326,,,,0.0,0.0,0.0,
747063,2024-03-30,BAL,LAA,Baltimore Orioles,Los Angeles Angels,0.6506789491515672,0.3493210508484328,9.4762,4.66778679461691,True,13,4,0.592,0.7093578983031346,9,9,680570,656288,2024,2551,1977,9305.11,13.5,0.18,0.82,0.4710743801652893,0.5289256198347108,100.0,-128.0,fanduel,fanduel,-0.08732231404958679,0.08732231404958679,under,-128.0,0.08732231404958679,0.031261322314049614,290.89,-290.89,0.0,1.0,0.5823742190069057,0.41762578099309433,-154.0,130.0,fanduel,fanduel,,,0.041081821294077336,0.06147425713019539,-0.06147425713019539,0.06193190220015371,-0.1808514951153325,,,,0.0,0.0,0.0,
745599,2024-03-30,PHI,ATL,Philadelphia Phillies,Atlanta Braves,0.5041531914674493,0.4958468085325507,9.7079,4.678715378178074,False,4,12,0.45620000000000005,0.5521063829348984,9,9,605400,608331,2024,2551,1977,9305.11,16.5,0.0826,0.9174,0.5289256198347108,0.4710743801652893,-128.0,100.0,fanduel,fanduel,-0.12288745453981564,0.1228874545398157,under,100.0,0.1228874545398157,0.0469809173525525,437.16,437.16,1.0,0.9177713092467109,0.46303884609080476,0.5369611539091952,108.0,-126.0,fanduel,fanduel,,,0.038291354663036126,0.03396020992663007,-0.03396020992663007,0.03375803651626452,-0.09779195761857373,,,,0.0,0.0,0.0,
745684,2024-03-30,OAK,CLE,Oakland Athletics,Cleveland Guardians,0.4328271571583778,0.5671728428416223,8.7694,4.337398257019984,False,3,12,0.4454,0.42025431431675553,9,9,676664,676440,2024,2551,1977,9305.11,13.5,0.1351,0.8649,0.48124062031015497,0.5187593796898449,-104.0,-122.0,fanduel,fanduel,-0.10384218609304646,0.10384218609304652,under,-122.0,0.10384218609304652,0.040543869009504734,377.27,-377.27,0.0,1.0,0.4846032025338729,0.5153967974661271,-102.0,-116.0,fanduel,fanduel,,,0.041987532086542156,-0.04659844083794562,0.04659844083794562,-0.13257880526884985,0.04647389201448021,,,,0.0,0.0,0.0,
746736,2024-03-30,CIN,WSN,Cincinnati Reds,Washington Nationals,0.5940127761520365,0.4059872238479635,11.2291,4.91184417403484,False,6,7,0.6219,0.566125552304073,9,9,668881,571578,2024,2551,1977,9305.11,9.5,0.6002,0.3998,0.4958445875753168,0.5041554124246831,-111.0,-115.0,fanduel,fanduel,0.03130662372740489,-0.03130662372740495,,,,0.0,0.0,0.0,,1.0,0.6027039848197344,0.3972960151802656,-168.0,142.0,fanduel,fanduel,,,0.0400888121376588,-0.00782208780092808,0.007822087800928135,-0.051021735708094595,-0.0196141907855113,,,,0.0,0.0,0.0,
745119,2024-03-30,TBR,TOR,Tampa Bay Rays,Toronto Blue Jays,0.5663237920639863,0.4336762079360137,9.3543,4.347386744930798,True,5,1,0.5512,0.5814475841279726,9,9,641793,579328,2024,2551,1977,9305.11,5.5,0.8002,0.1998,0.4669102720259846,0.5330897279740154,102.0,-130.0,fanduel,fanduel,0.09998691839220458,-0.09998691839220464,over,102.0,0.09998691839220458,0.03557164819724074,331.0,337.62,1.0,,,,,,,,,,,,,,,,,,,,,
746333,2024-03-30,KCR,MIN,Kansas City Royals,Minnesota Twins,0.44562769614873265,0.5543723038512673,9.0254,4.371676433589292,False,1,5,0.466,0.4252553922974653,9,9,607625,657746,2024,2551,1977,9305.11,4.5,0.8592,0.1408,0.5289256198347108,0.4710743801652893,-128.0,100.0,fanduel,fanduel,0.0862472092705524,-0.0862472092705524,over,-128.0,0.0862472092705524,0.03064851259000001,285.19,222.8,1.0,0.8704601835135692,0.510397604391948,0.48960239560805197,-118.0,-108.0,fanduel,fanduel,,,0.06051517290049402,-0.05074166359399168,0.05074166359399168,-0.15080512632241966,0.040662632537269316,,,,0.0,0.0,0.0,
746087,2024-03-30,MIA,PIT,Miami Marlins,Pittsburgh Pirates,0.4688593219661277,0.5311406780338723,10.1801,4.706767892089008,False,3,9,0.43110000000000004,0.5066186439322553,9,9,677960,683003,2024,2551,1977,9305.11,,,,,,,,,,,,,,,,,,,0.852231566397464,0.5427435387673957,0.4572564612326043,-130.0,110.0,fanduel,fanduel,,,0.04140786749482395,-0.056669815634935006,0.056669815634935006,-0.14002341291949272,0.07924518142183268,,,,0.0,0.0,0.0,
745037,2024-03-30,TEX,CHC,Texas Rangers,Chicago Cubs,0.5779053543841104,0.4220946456158896,10.0704,4.5856781221538,True,11,2,0.5804,0.5754107087682209,9,9,674003,543294,2024,2551,1977,9305.11,9.5,0.501,0.499,0.5086640097036909,0.49133599029630914,-114.0,-106.0,fanduel,fanduel,-0.002299202911107301,0.0022992029111072454,,,,0.0,0.0,0.0,,1.0,0.5369611539091952,0.4630388460908048,-126.0,108.0,fanduel,fanduel,,,0.038291354663036126,0.036849780427423706,-0.036849780427423706,0.029216437778379845,-0.11352674342016728,,,,0.0,0.0,0.0,
745436,2024-03-30,SDP,SFG,San Diego Padres,San Francisco Giants,0.5566754753596077,0.4433245246403923,8.1962,4.1828585393245135,False,6,9,0.4777,0.6356509507192155,9,9,656302,663855,2024,2551,1977,9305.11,7.5,0.5129,0.4871,0.47639484978540764,0.5236051502145922,100.0,-122.0,fanduel,fanduel,0.010951545064377732,-0.010951545064377677,,,,0.0,0.0,0.0,,1.0,0.5369611539091952,0.4630388460908048,-126.0,108.0,fanduel,fanduel,,,0.038291354663036126,0.017742889305371268,-0.017742889305371268,-0.005054652646888813,-0.0737844098862982,,,,0.0,0.0,0.0,
746410,2024-03-30,HOU,NYY,Houston Astros,New York Yankees,0.5126697114605535,0.4873302885394465,9.2327,4.664005865133533,False,3,5,0.5311,0.494239422921107,9,9,686613,573186,2024,2551,1977,9305.11,9.0,0.4722618916840602,0.5277381083159398,0.5,0.5,-110.0,-110.0,fanduel,fanduel,-0.008321432494781955,0.0083214324947819,,,,0.0,0.0,0.0,,1.0,0.5506567324679315,0.44934326753206855,-134.0,114.0,fanduel,fanduel,,,0.03993929227574089,-0.03418831890664009,0.03418831890664015,-0.09810739721386436,0.03475759497883635,,,,0.0,0.0,0.0,
747221,2024-03-30,ARI,COL,Arizona Diamondbacks,Colorado Rockies,0.6427269257662,0.35727307423379995,9.971,4.737442242391985,False,4,9,0.5853,0.7001538515324001,9,9,674072,596295,2024,2551,1977,9305.11,9.5,0.4823,0.5177,0.5,0.5,-110.0,-110.0,fanduel,fanduel,-0.005309999999999981,0.005310000000000037,,,,0.0,0.0,0.0,,1.0,0.6154910096818811,0.3845089903181189,-178.0,150.0,fanduel,fanduel,,,0.04028776978417259,0.024512324475887026,-0.024512324475887082,-0.0004442309221374119,-0.10000833539442044,,,,0.0,0.0,0.0,
746168,2024-03-30,LAD,STL,Los Angeles Dodgers,St. Louis Cardinals,0.650871622539916,0.34912837746008396,11.7756,5.134261839836375,False,5,6,0.6209,0.680843245079832,9,9,808967,458681,2024,2551,1977,9305.11,8.5,0.7235,0.2765,0.4891657638136511,0.5108342361863488,-105.0,-115.0,fanduel,fanduel,0.07030027085590468,-0.07030027085590462,over,-105.0,0.07030027085590468,0.024226342768147332,225.43,214.7,1.0,1.0,0.6734574519933717,0.3265425480066283,-235.0,194.0,fanduel,fanduel,,,0.0416285917352015,-0.02032724650811013,0.020327246508110075,-0.06894204749973354,0.01979719587333073,,,,0.0,0.0,0.0,
745278,2024-03-30,SEA,BOS,Seattle Mariners,Boston Red Sox,0.5628666506504156,0.43713334934958437,7.0676,3.8415921490965173,True,4,3,0.5201,0.6056333013008314,9,9,669302,676710,2024,2551,1977,9305.11,7.5,0.3936,0.6064,0.47639484978540764,0.5236051502145922,100.0,-122.0,fanduel,fanduel,-0.02483845493562231,0.02483845493562231,,,,0.0,0.0,0.0,,1.0,0.5857068876229934,0.4142931123770066,-156.0,132.0,fanduel,fanduel,,,0.04040948275862055,-0.02055621327531998,0.02055621327531998,-0.07257325235253598,0.008850435513397814,,,,0.0,0.0,0.0,
747062,2024-03-31,BAL,LAA,Baltimore Orioles,Los Angeles Angels,0.6430798392359396,0.3569201607640604,9.0685,4.406359920614747,False,1,4,0.5632,0.7229596784718791,9,9,669330,672282,2024,2551,1977,10143.380000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745602,2024-03-31,PHI,ATL,Philadelphia Phillies,Atlanta Braves,0.49925147522406643,0.5007485247759336,9.3633,4.568447560167458,True,5,4,0.47800000000000004,0.5205029504481329,9,9,624133,519242,2024,2551,1977,10143.380000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746739,2024-03-31,CIN,WSN,Cincinnati Reds,Washington Nationals,0.588387196378261,0.411612803621739,10.1375,4.7395984798292785,True,6,5,0.6429,0.533874392756522,9,9,607259,663623,2024,2551,1977,10143.380000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745115,2024-03-31,TBR,TOR,Tampa Bay Rays,Toronto Blue Jays,0.543600771864137,0.456399228135863,7.6159,3.998370566868459,False,2,9,0.48250000000000004,0.604701543728274,9,9,542888,592332,2024,2551,1977,10143.380000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746090,2024-03-31,MIA,PIT,Miami Marlins,Pittsburgh Pirates,0.5273854910305278,0.4726145089694722,8.6675,4.289235800232951,False,7,9,0.5773,0.47747098206105565,9,9,669432,663559,2024,2551,1977,10143.380000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745845,2024-03-31,NYM,MIL,New York Mets,Milwaukee Brewers,0.4345906205977299,0.5654093794022701,9.0765,4.460139880093448,False,1,4,0.4535,0.4156812411954598,9,9,656731,607067,2024,2551,1977,10143.380000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746332,2024-03-31,KCR,MIN,Kansas City Royals,Minnesota Twins,0.4078077434991362,0.5921922565008638,9.8872,4.681055026380271,True,11,0,0.4141,0.40151548699827233,9,9,663903,641927,2024,2551,1977,10143.380000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746815,2024-03-31,CWS,DET,Chicago White Sox,Detroit Tigers,0.4031925189850282,0.5968074810149717,9.4792,4.527512270552118,False,2,3,0.4847,0.32168503797005643,9,9,607200,656427,2024,2551,1977,10143.380000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746413,2024-03-31,HOU,NYY,Houston Astros,New York Yankees,0.4954208748156183,0.5045791251843816,9.8871,4.754613926492876,False,3,4,0.525,0.4658417496312366,9,9,641585,657376,2024,2551,1977,10143.380000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745035,2024-03-31,TEX,CHC,Texas Rangers,Chicago Cubs,0.5649512635396303,0.4350487364603697,8.9555,4.355998134756257,False,5,9,0.5308,0.5991025270792606,9,9,592351,696136,2024,2551,1977,10143.380000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
