game_id,date,home_team,away_team,home_name,away_name,model_home_win_prob,model_away_win_prob,avg_total_runs,std_total_runs,actual_home_win,actual_home_score,actual_away_score,sim_home_prob,elo_home_prob,home_real_profiles,away_real_profiles,home_starter_id,away_starter_id,year,total_line,model_over_prob,model_under_prob,market_over_nv_prob,market_under_nv_prob,best_over_odds,best_under_odds,best_over_book,best_under_book,over_edge,under_edge,totals_bet_side,totals_bet_odds,totals_bet_edge,totals_bet_fraction,totals_bet_stake,totals_bet_profit,totals_bet_won,confidence,market_home_nv_prob,market_away_nv_prob,best_home_odds,best_away_odds,best_home_book,best_away_book,pinnacle_home,pinnacle_away,vig,home_edge,away_edge,home_ev,away_ev,bet_side,bet_odds,bet_edge,bet_fraction,bet_stake,bet_profit,bet_won
634610,2021-04-04,BOS,BAL,Boston Red Sox,Baltimore Orioles,0.627,0.373,11.733,5.551730450949505,False,3,11,0.627,,9,9,572070,669145,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634611,2021-04-04,DET,Cleveland Indians,Detroit Tigers,Cleveland Indians,0.432,0.5680000000000001,10.871,4.765958350636312,False,3,9,0.432,,9,9,669373,650644,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634560,2021-04-04,CIN,STL,Cincinnati Reds,St. Louis Cardinals,0.533,0.46699999999999997,11.989,5.605611385031967,True,12,1,0.533,,8,8,656546,593372,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634593,2021-04-04,KCR,TEX,Kansas City Royals,Texas Rangers,0.506,0.494,10.962,4.961708979777028,False,3,7,0.506,,9,8,663903,543475,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634597,2021-04-04,MIL,MIN,Milwaukee Brewers,Minnesota Twins,0.537,0.46299999999999997,9.338,4.692521283915503,False,2,8,0.537,,8,8,605288,501381,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634613,2021-04-04,CHC,PIT,Chicago Cubs,Pittsburgh Pirates,0.599,0.401,10.971,5.197129881001628,True,4,3,0.599,,8,8,605200,656605,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634557,2021-04-04,COL,LAD,Colorado Rockies,Los Angeles Dodgers,0.331,0.669,12.109,5.332271467207947,False,2,4,0.331,,8,9,596295,628711,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634651,2021-04-04,OAK,HOU,Oakland Athletics,Houston Astros,0.336,0.6639999999999999,9.998,4.9317335694459405,False,2,9,0.336,,9,9,640455,664353,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634572,2021-04-04,SDP,ARI,San Diego Padres,Arizona Diamondbacks,0.627,0.373,10.353,4.614151167874759,False,1,3,0.627,,8,7,663978,642203,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634637,2021-04-04,LAA,CWS,Los Angeles Angels,Chicago White Sox,0.464,0.536,9.07,4.6468376343487625,True,7,4,0.464,,9,9,660271,656302,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
